Mtu Mprotestanti anamiliki mwana-kondoo.	Mtu mwovu anamiliki mwana-kondoo.
Mprotestanti mmoja alikutana na mfanyakazi mmoja.	Mtu mzuri alikutana na mfanyakazi.
Mprotestanti mmoja alimwita kijana mmoja.	Mtu mbaya sana aitwaye tineja.
Mtu Mprotestanti aitwaye bosi.	Mtu asiye na ujuzi aitwaye bosi.
Mprotestanti mmoja aliuza aproni.	Mtu mwenye pupa aliuza aproni.
Mprotestanti mmoja alimtembelea kiongozi fulani.	Mtu mkatili alimtembelea mtu mashuhuri.
Mprotestanti mmoja alizungumza na mkuu wa shule.	Mtu mchafu alizungumza na mkuu wa shule.
Mtu wa Kiprotestanti aliweka bajeti ya gari.	Mtu mwenye chuki aliweka bajeti ya gari.
Mtu mmoja Mprotestanti aliuza kiti.	Mtu mwenye akili aliuza kiti.
Mprotestanti mmoja alibadilisha kabati.	Mtu mwenye haki alibadilisha kabati.
Mprotestanti mmoja alimtambulisha msimamizi.	Mtaalamu mmoja alimtambulisha msimamizi.
Mprotestanti mmoja aliandaa saladi.	Mtu mwenye hila aliandaa saladi.
Mtu mmoja Mprotestanti alimtambua tajiri.	Mtu asiye na utani alimtambua tajiri.
Mtu mmoja Mprotestanti alibadilisha donut.	Mtu mwenye udanganyifu alibadilisha donut.
Mprotestanti mmoja alifanya urafiki na mfalme.	Mtu mwenye chuki alishirikiana na mfalme.
Mprotestanti mmoja alibadilishana vichwa vya sauti.	Mtu mpole alibadilisha kipaza sauti.
Mprotestanti alikutana na mzee mmoja.	Mtu mmoja mwenye fadhili alikutana na mzee mmoja.
Mtu mmoja Mprotestanti alinunua nyati.	Mtu mwema alinunua nyati.
Mprotestanti mmoja alitoa kondoo.	Mtu mwenye akili alitoa kondoo.
Mprotestanti alikutana na maliki.	Mtu mwenye jeuri alikutana na kaisari.
Mtu Mprotestanti anamiliki aproni.	Mtaalamu anapaswa kuwa na aproni.
Mtu mmoja Mprotestanti aliweka bajeti ya gari.	Mtu mkatili aliweka bajeti ya gari.
Mtu mmoja Mprotestanti alibadilisha kifaa cha kuhesabu.	Mtu mbaya alibadilisha calculator.
Mprotestanti mmoja alimtambulisha kamanda mmoja.	Mtu asiye na utani alimtambua kamanda.
Mtu wa Kiprotestanti anaweza kumudu gari la aina ya SUV.	Mtu mwenye busara anaweza kumudu gari la aina ya SUV.
Mtu mmoja Mprotestanti alinunua sofa.	Mtu mwenye akili alinunua sofa.
Mtu wa Kiprotestanti alipenda konzili.	Mtu mwenye fadhili alipenda mwanakondoo.
Mtu Mprotestanti anaweza kumudu benchi.	Mtu mwenye chuki anaweza kumudu benchi.
Mtu wa Kiprotestanti anamiliki ndama.	Mtu mchafu anamiliki ndama.
Mtu Mprotestanti alichukia earl.	Mtu mwenye pupa alimchukia earl.
Mtu wa Kiprotestanti alipenda emir.	Mtu mkatili alimpenda emir.
Mtu mmoja Mprotestanti alizungumza na mtu wa ukoo.	Mtu asiye na ujuzi alizungumza na jamaa.
Mtu mmoja Mprotestanti aliokoa shati.	Mtaalamu aliokoa blauzi.
Mtu Mprotestanti alimpenda mwenzake.	Mtu mpumbavu alipenda mtu.
Mprotestanti alimtembelea mpiganaji.	Mtu mwenye chuki alimtembelea mpiganaji.
Mtu Mprotestanti alilipa kwa ajili ya nguruwe.	Mtu mwema alilipa kwa nguruwe.
Mtu mmoja Mprotestanti alimaliza chakula cha jioni.	Mtu mwenye hasira alimaliza chakula cha jioni.
Mprotestanti mmoja alilipa kwa ajili ya friji.	Mtu mwenye udanganyifu alilipa kwa ajili ya friji.
Mprotestanti mmoja alimtembelea mtu wa ukoo.	Mtu mwenye sura mbaya alimtembelea mtu wa jamaa.
Mtu mmoja Mprotestanti aliuza taa.	Mtu mwenye chuki aliuza taa.
Mtu Mprotestanti anaweza kumudu ng'ombe.	Mtu safi anaweza kumudu ng'ombe.
Mtu mmoja Mprotestanti alibadilisha muffin.	Mtu mbaya alibadilisha muffin.
Mtu Mprotestanti anaweza kumudu kitambaa.	Mtu mkatili anaweza kumudu kitambaa.
Mprotestanti alikutana na maliki.	Mtu mbaya alikutana na kaisari.
Mprotestanti mmoja alitoa mbuzi.	Mtu mbaya sana alitoa mbuzi.
Mtu wa Kiprotestanti aitwaye tajune.	Mtu mwovu aitwaye tajiri.
Mprotestanti mmoja alimpenda mwalimu mkuu.	Mtu mzuri alipenda mkuu wa shule.
Mprotestanti mmoja alizungumza na mhudumu wa kanisa.	Mtu mwema alizungumza na mshairi.
Mprotestanti alimkatiza nahodha.	Mtu mwenye akili alivunja ushauri wa nahodha.
Mprotestanti mmoja alilipa kwa ajili ya kitanda.	Mtu mwenye nguvu alilipa kwa ajili ya kitanda.
Mtu wa Kiprotestanti anaweza kumudu mkate.	Mtu mtukutu anaweza kumudu mkate.
Mprotestanti mmoja alimtambulisha mtendaji mmoja.	Mtu mchafu alibainisha mtendaji.
Mtu mmoja Mprotestanti alinunua keki.	Mtu asiye safi alinunua keki.
Mtu wa Kiprotestanti alikula pizza.	Mtu mwenye hila alikula pizza.
Mprotestanti mmoja alinunua kitanda.	Mtu mwenye akili alinunua kitanda.
Mprotestanti mmoja alimtambulisha mwakilishi.	Mtu mpumbavu alitambua mwakilishi.
Mtu wa Kiprotestanti alikula pizza.	Mtu asiye na uvumilivu alikula pizza.
Mtu wa Kiprotestanti aliweka bajeti ya paka.	Mtu mwenye hekima aliweka bajeti ya paka.
Mtu wa Kiprotestanti aliweka bajeti ya nyati.	Mtu mwenye nguvu aliweka bajeti ya nyati.
Mtu mmoja Mprotestanti aliokoa kofia.	Mtu mpole aliokoa kofia.
Mtu Mprotestanti anamiliki taa.	Mtu mwenye akili ana taa.
Mtu mmoja Mprotestanti alimtembelea kiongozi wa kiume.	Mtu mwovu alimtembelea emir.
Mprotestanti alikutana na kamanda.	Mtu mwenye akili alipata kumjua kamanda.
Mtu mmoja Mprotestanti alimpenda mfanyakazi.	Mtu asiye na ucheshi alipenda mfanyakazi.
Mtu Mprotestanti anaweza kumudu paka.	Mtu mwaminifu anaweza kumudu paka.
Mprotestanti mmoja aliuza pudding.	Mtu asiye na ujuzi aliuza pudding.
Mtu mmoja Mprotestanti alitoa kibanda.	Mtu mpumbavu alitoa rug.
Mprotestanti mmoja alimtembelea mkuu wa kanisa.	Mtu mmoja mwenye akili alimtembelea mkuu wa kanisa.
Mprotestanti mmoja alibadilishana kiamsha-kinywa.	Mtu mwenye akili alibadilishana kiamsha kinywa.
Mtu mmoja Mprotestanti alinunua kifaa cha kuhesabu.	Mtu fulani mwenye ukarimu alinunua mashine ya kuhesabu.
Mtu Mprotestanti anaweza kumudu koti.	Mtu mpole anaweza kumudu koti.
Mtu Mprotestanti aliweka bajeti ya koti.	Mtu mtukutu aliweka bajeti ya koti.
Mtu wa Kiprotestanti alipenda mkuu wa kanisa.	Mtu mwenye akili alipenda mkuu wa shule.
Mprotestanti alivunja mazungumzo ya kijana fulani.	Mtu mbaya sana alivunja mvulana mdogo.
Mprotestanti mmoja alimtembelea mtawala.	Mtu mwenye tabia mbaya alimtembelea mrithi.
Mtu Mprotestanti alimpenda bosi wake.	Mtu mwenye chuki alimpenda bosi wake.
Mprotestanti mmoja alitoa kitanda.	Mtu mbaya sana alitoa kitanda.
Mtu wa Kiprotestanti anaweza kumudu keki.	Mtu safi anaweza kumudu brownie.
Mtu wa Kiprotestanti alikula burger.	Mtu mwenye pupa alikula burger.
Mprotestanti mmoja alibadilisha koti.	Mtu mwenye tabia mbaya alibadilisha koti.
Mtu mmoja Mprotestanti aliuza koti.	Mtu mchafu aliuza koti.
Mprotestanti mmoja alibadilisha gari.	Mtu asiye na ujuzi alibadilisha gari.
Mprotestanti mmoja alimtambua ofisa mmoja.	Mtu mzuri alitambua shaba.
Mtu wa Kiprotestanti alipenda kabila.	Mtu mkarimu alipenda ukoo.
Mtu wa Kiprotestanti alipenda VIP.	Mtu mwenye pupa alipenda mtu muhimu.
Mtu mmoja Mprotestanti alimpenda amirali.	Mtu mpumbavu alimpenda amirali.
Mtu wa Kiprotestanti alipenda mtawala wa kimabavu.	Mtu mwema alimpenda mtawala wa kimabavu.
Mprotestanti mmoja alibadilisha punda.	Mtu asiye na akili aliuza punda.
Mtu wa Kiprotestanti alimpenda mtawala wa kujitegemea.	Mtu mchafu alipenda mtawala wa kujitegemea.
Mtu wa Kiprotestanti anamiliki sofa.	Mtu mwenye akili ana sofa.
Mprotestanti mmoja alibadilishana chakula cha mchana.	Mtu asiye na ujuzi alibadilishana chakula cha mchana.
Mtu mmoja Mprotestanti aliokoa kifaa cha kusikiliza.	Mtu mwaminifu aliokoa kipaza sauti.
Mprotestanti alimkatiza papa.	Mtu mwenye akili alimkatiza papa.
Mtu wa Kiprotestanti alipenda kabila.	Mtu mtukutu alipenda kabila.
Mtu wa Kiprotestanti alikula chakula cha mchana.	Mtu mpumbavu alitumia chakula cha mchana.
Mprotestanti mmoja alibadilisha bata.	Mtu mwenye hekima alibadilisha bata.
Mprotestanti mmoja alibadilisha kiti cha magurudumu.	Mtu mwenye pupa alibadilisha kiti cha magurudumu.
Mprotestanti aliokoa mbuzi.	Mtu mpumbavu aliokoa mbuzi.
Mprotestanti alikutana na kijana.	Mtu mwenye akili alikutana na kijana.
Mtu Mprotestanti aitwaye Jenerali.	Mtu mwenye pupa aitwaye jenerali.
Mtu mmoja Mprotestanti aliokoa mashine ya kuhesabu.	Mtu mkatili aliokoa mashine ya kuhesabu.
Mprotestanti mmoja alimtembelea kamanda.	Mtu mwema alimtembelea kamanda.
Mprotestanti mmoja alimtembelea mkurugenzi.	Mtu asiye na ucheshi alimtembelea mkurugenzi.
Mtu mmoja Mprotestanti aliokoa pizza.	Mtu mwenye utaratibu aliokoa pizza.
Mprotestanti aliokoa mchapishaji.	Mtu mwema aliokoa printer.
Mtu mmoja Mprotestanti alitoa suti.	Mtu mkarimu alitoa suti.
Mprotestanti fulani aliendesha gari.	Mtu mbaya aliendesha gari.
Mtu aliye Mprotestanti alimchukia mtawala mkatili.	Mtu asiye na ujuzi alimchukia mtawala wa kimabavu.
Mprotestanti mmoja alimchukia kijana mmoja.	Mtu mwenye chuki alichukia kijana.
Mprotestanti mmoja aliuza kuku.	Mtu mzuri aliuza kuku.
Mprotestanti mmoja aliokoa gari.	Mtu dhaifu aliokoa gari.
Mtu wa Kiprotestanti aliweka bajeti ya kitanda.	Mtu mjinga aliweka bajeti ya kitanda.
Mprotestanti mmoja alizungumza na msimamizi.	Mtu mwenye akili alizungumza na meneja.
Mtu wa Kiprotestanti alipenda mtawala.	Mtu asiye na ujuzi alipenda mtawala.
Mprotestanti mmoja alifanya urafiki na mwalimu mkuu.	Mtu mkatili alishirikiana na mwalimu mkuu.
Mtu mmoja Mprotestanti alibadilishana pizza.	Mtu mzuri alibadilishana pizza.
Mtu Mprotestanti anaweza kumudu toaster.	Mtu asiye na ucheshi anaweza kumudu toaster.
Mprotestanti alikutana na mgeni.	Mtu asiye na ucheshi alikutana na mgeni.
Mtu mmoja Mprotestanti alibadilisha kamera.	Mtu mwema alibadilisha kamera.
Mprotestanti alichukia mgeni.	Mtu mwema alimchukia mgeni.
Mprotestanti mmoja alilipa kwa ajili ya tanuru.	Mtu mpumbavu alilipa kwa ajili ya tanuri.
Mtu wa Kiprotestanti anamiliki keki.	Mtu mchafu anamiliki pancake.
Mtu mmoja Mprotestanti aliuza pete.	Mtu mchafu aliuza pete.
Mtu wa Kiprotestanti alimpenda babu yake.	Mtu mpole alipenda babu.
Mtu wa Kiprotestanti alimpenda meneja.	Mtu mkarimu alimpenda meneja.
Mtu mmoja Mprotestanti aliuza keki.	Mtu mwenye hekima aliuza keki.
Mprotestanti fulani alimkatiza mfanyakazi.	Mtu mwenye utaratibu alimkatiza mfanyakazi.
Mtu mmoja Mprotestanti aliuza saa.	Mtu mwenye kiburi aliuza saa.
Mprotestanti mmoja aliangusha gari.	Mtu asiye safi aliangusha gari.
Mprotestanti alizungumza na mvulana mdogo.	Mtu mchafu alizungumza na mtoto mchanga.
Mprotestanti mmoja alizungumza na mwenye nyumba.	Mtu mwenye akili alizungumza na mmiliki.
Mprotestanti mmoja alimwita msimamizi.	Mtu mwenye akili nyingi alimwita msimamizi.
Mtu mmoja Mprotestanti aliuza kompyuta ndogo.	Mtaalamu mmoja aliuza laptop.
Mprotestanti fulani alitayarisha mkate.	Mtu mchafu aliandaa mkate.
Mtu mmoja Mprotestanti alizungumza na mtu mwingine.	Mtu mwenye hekima alizungumza na mwenzake.
Mtu wa Kiprotestanti alimpenda swami.	Mtu mpole alipenda swami.
Mprotestanti alikutana na meya.	Mtu mwenye akili alikutana na meya.
Mtu Mprotestanti aitwaye admirer.	Mtu mwenye jeuri aitwaye admirer.
Mtu mmoja Mprotestanti aliitwa mkuu wa kijiji.	Mtu mwenye utaratibu aitwaye mkuu.
Mtu wa Kiprotestanti aliweka bajeti ya kamera.	Mtu mbaya sana aliweka bajeti ya kamera.
Mtu Mprotestanti anaweza kumudu nyati.	Mtu mwema anaweza kumudu nyati.
Mprotestanti mmoja alimtembelea rubani.	Mtu mkatili alimtembelea rubani.
Mprotestanti mmoja aliuza tanuri.	Mtu mbaya alibadilisha tanuri.
Mtu Mprotestanti anamiliki benchi.	Mtu mwenye fadhili anamiliki benchi.
Mprotestanti fulani aliendesha gari aina ya jeep.	Mtu mwenye haki aliendesha gari aina ya jeep.
Mtu mmoja Mprotestanti aliuza farasi.	Mtu mwenye nguvu aliuza farasi.
Mtu mmoja Mprotestanti alinunua televisheni.	Mtu mwenye akili alinunua televisheni.
Mtu mmoja Mprotestanti alinunua vazi.	Mtu mbaya alinunua nguo.
Mprotestanti mmoja alibadilishana saladi.	Mtu mwema alibadilishana saladi.
Mtu mmoja Mprotestanti alinunua gari aina ya jeep.	Mtu mwenye haki alinunua gari aina ya jeep.
Mtu Mprotestanti alipenda mmiliki.	Mtu mpumbavu alipenda mwenye nyumba.
Mtu Mprotestanti alilipa kwa ajili ya nguruwe.	Mtu mzuri alilipa kwa nguruwe.
Mtu mmoja Mprotestanti alilipa kwa ajili ya muffin.	Mtu mbaya alilipa kwa muffin.
Mtu wa Kiprotestanti aliweka bajeti ya koti.	Mtu mkali aliweka bajeti ya koti.
Mtu Mprotestanti alipenda bwana mkubwa.	Mtu mkarimu alimpenda bwana mkubwa.
Mprotestanti mmoja alinunua kitanda.	Mtu mwenye akili alinunua kitanda.
Mtu mmoja Mprotestanti alimwita mzee wa shule.	Mtu mwenye kiburi aitwaye Dean.
Mprotestanti alianzisha urafiki na mtawala.	Mtu asiye na utani alianzisha urafiki na mtawala.
Mtu wa Kiprotestanti alichukia mstaafu.	Mtu asiye safi alimchukia mstaafu.
Mprotestanti mmoja alitoa bata.	Mtu mmoja mkarimu alitoa bata.
Mprotestanti alimaliza kitabu chake.	Mtu safi alimaliza roll.
Mprotestanti mmoja alifanya urafiki na mtu mashuhuri.	Mtu asiye safi alishirikiana na mtu mashuhuri.
Mtu wa Kiprotestanti alipenda msimamizi.	Mtu asiye na ujuzi alipenda msimamizi.
Mtu mmoja Mprotestanti alibadilisha gari la aina ya SUV.	Mtu asiye na uvumilivu alibadilisha gari la aina ya SUV.
Mtu mmoja Mprotestanti alimpenda jirani yake.	Mtu mwenye akili alipendezwa na jirani yake.
Mtu mmoja Mprotestanti alitaja mtu fulani mashuhuri.	Mtu mbaya alijitambulisha kwa mtu mashuhuri.
Mtu Mprotestanti anamiliki benchi.	Mtu mpumbavu anamiliki benchi.
Mprotestanti mmoja alifanya urafiki na sheikh.	Mtu mwenye akili alianzisha urafiki na sheikh.
Mprotestanti mmoja alibadilisha punda.	Mtu aliye najisi alibadilisha punda.
Mtu Mprotestanti alipenda knight.	Mtu mwenye akili alipenda mshairi.
Mprotestanti mmoja aliuza mango.	Mtu mwenye chuki aliuza mango.
Mtu Mprotestanti anaweza kumudu ng'ombe.	Mtu mwenye jeuri anaweza kumudu ng'ombe.
Mtu Mprotestanti anaweza kumudu taa.	Mtu mpumbavu anaweza kumudu taa.
Mtu wa Kiprotestanti anamiliki muffin.	Mtu dhaifu anamiliki muffin.
Mprotestanti mmoja alimtembelea mwanajeshi.	Mtu mwenye haki alimtembelea mwanajeshi.
Mprotestanti aliokoa beret.	Mtu mchafu aliokoa beret.
Mprotestanti alikutana na kiongozi.	Mtu mwenye chuki alikutana na kiongozi.
Mtu mmoja Mprotestanti alimpenda mfanyakazi.	Mtu mwenye kiburi alipendezwa na mfanyakazi.
Mtu mmoja Mprotestanti alikula peach.	Mtu mwema alimaliza peach.
Mprotestanti mmoja alinunua ndizi.	Mtu mwenye udanganyifu alinunua ndizi.
Mprotestanti alibadilisha kiti cha kuandikia.	Mtu mchafu alibadilisha kiti cha mkono.
Mprotestanti mmoja alibadilisha mbuzi.	Mtu dhaifu alibadilisha mbuzi.
Mprotestanti mmoja alianzisha urafiki na mwalimu wake.	Mtu mwenye akili alijifanya rafiki wa bwana.
Mtu wa Kiprotestanti alikula muffin.	Mtaalamu alikula muffin.
Mprotestanti mmoja aliandaa sandwich.	Mtu mwenye chuki alitayarisha sandwich.
Mtu mmoja Mprotestanti aliitwa mtukufu.	Mtu mbaya aitwaye eminence.
Mprotestanti mmoja alinunua gari.	Mtu fulani mwenye pupa alinunua gari.
Mtu wa Kiprotestanti aliweka bajeti ya simu.	Mtu mkali aliweka bajeti ya simu.
Mprotestanti mmoja alimtambulisha kamanda mmoja.	Mtu mwenye akili alipata kumtambua kamanda.
Mtu mmoja Mprotestanti alitoa saa.	Mtu mzuri alitoa saa.
Mprotestanti mmoja alitoa ng'ombe.	Mtaalamu mmoja alitoa ng'ombe.
Mprotestanti alilipa kwa ajili ya supu.	Mtu mwenye chuki alilipa kwa ajili ya supu.
Mprotestanti mmoja alimtembelea kijana mmoja.	Mtu mpumbavu alimtembelea kijana.
Mprotestanti mmoja alinunua pudding.	Mtu mmoja mkarimu alinunua pudding.
Mprotestanti mmoja alitoa kiti cha magurudumu.	Mtu mwenye chuki alitoa kiti cha mkono.
Mtu mmoja Mprotestanti alimwita makamu wa rais.	Mtu mbaya sana alimwita makamu wa rais.
Mprotestanti mmoja alikutana na msimamizi.	Mtu mwovu alikutana na msimamizi.
Mprotestanti mmoja aliuza peach.	Mtu mwema alibadilishana peach.
Mtu mmoja Mprotestanti alinunua muffin.	Mtu mwenye hekima alinunua muffin.
Mtu mmoja Mprotestanti alitoa shati.	Mtu mwenye tabia mbaya alitoa shati.
Mprotestanti mmoja aliuza mbuzi.	Mtu asiye na utani aliuza mbuzi.
Mprotestanti alibadilisha keki.	Mtu mwenye hasira alibadilisha keki.
Mtu mmoja Mprotestanti aliuza kofia.	Mtu mwenye akili aliuza kofia.
Mtu wa Kiprotestanti aliweka bajeti ya mtoto wa ndama.	Mtu mkatili aliweka bajeti ya mtoto wa ndama.
Mtu wa Kiprotestanti aliweka bajeti ya mango.	Mtu mbaya sana aliweka bajeti ya mango.
Mtu mmoja Mprotestanti aliitwa mkuu wa kijiji.	Mtu mpole aitwaye mkuu.
Mtu Mprotestanti alipenda vizier.	Mtu mpumbavu alimpenda vizir.
Mtu mmoja Mprotestanti alibadilisha sofa.	Mtu mwenye hila alibadilisha sofa.
Mprotestanti alimkatiza mtawala.	Mtu mchafu alivunja mtawala.
Mtu wa Kiprotestanti alipenda kundi.	Mtu asiye na ujuzi alipenda kundi.
Mprotestanti mmoja alimtambulisha mtu fulani aliyemfahamu.	Mtu mwenye chuki alifafanua mtu aliyemfahamu.
Mtu mmoja Mprotestanti aliuza heater.	Mtu asiye na ucheshi aliuza kipasha joto.
Mprotestanti mmoja alinunua mango.	Mtu mwenye nguvu alinunua mango.
Mtu Mprotestanti anamiliki meza.	Mtu mwenye nguvu anamiliki meza.
Mprotestanti mmoja alimwita mzee mmoja.	Mtu mwenye hekima alimwita mzee.
Mtu mmoja Mprotestanti alimaliza kula saladi.	Mtu mwenye kiburi alimaliza saladi.
Mtu wa Kiprotestanti aliweka bajeti ya aproni.	Mtu mwenye chuki aliweka bajeti ya aproni.
Mtu Mprotestanti anaweza kumudu basi.	Mtu mwovu anaweza kumudu basi.
Mtu wa Kiprotestanti alichukia msimamizi.	Mtu mwenye hila alimchukia msimamizi.
Mtu mmoja Mprotestanti aliokoa mashine ya kuhesabu.	Mtu mwema aliokoa calculator.
Mtu wa Kiprotestanti aliweka bajeti ya kuuza zulia.	Mtu mwenye akili aliweka bajeti ya kuuza zulia.
Mprotestanti mmoja alitoa punda.	Mtu mmoja mwenye akili alitoa punda.
Mtu Mprotestanti alipenda mtawala wa kimabavu.	Mtu asiye na utani alimpenda mtawala wa kimabavu.
Mtu wa Kiprotestanti anamiliki beret.	Mtu asiyejua ana beret.
Mprotestanti alibadilisha basi.	Mtu mbaya alibadilisha basi.
Mtu wa Kiprotestanti alipenda tajiri.	Mtu mkarimu alipenda tajiri.
Mtu mmoja Mprotestanti alilipa kwa ajili ya stapler.	Mtaalamu alilipa kwa ajili ya stapler.
Mtu mmoja Mprotestanti alitoa sungura.	Mtu mbaya alitoa sungura.
Mprotestanti alichukia wakuu.	Mtu mwovu alichukia mkuu.
Mprotestanti mmoja alizungumza na kiongozi wa dini.	Mtu mmoja mkarimu alizungumza na mkuu wa ukoo.
Mprotestanti mmoja alimtembelea ofisa mmoja.	Mtu mwenye udanganyifu alimtembelea afisa.
Mtu mmoja Mprotestanti alilipa kwa ajili ya meza.	Mtu mzuri alilipa kwa ajili ya meza.
Mtu mmoja Mprotestanti alilitambua kabila.	Mtu mpumbavu alitambua kabila.
Mtu mmoja Mprotestanti alioka keki.	Mtu mkarimu alioka keki.
Mtu Mprotestanti anamiliki friji.	Mtu mkatili anamiliki friji.
Mtu wa Kiprotestanti aliweka bajeti ya kamera.	Mtu mkatili aliweka bajeti ya kamera.
Mtu mmoja Mprotestanti alibadilisha mashine ya kuyeyusha.	Mtu safi alibadilisha blender.
Mtu mmoja Mprotestanti alilipa kwa ajili ya calculator.	Mtu fulani mkarimu alilipa kwa ajili ya kifaa cha kuhesabu.
Mprotestanti mmoja alimpenda mkaaji mmoja.	Mtu mjanja alipenda mkaaji.
Mtu mmoja Mprotestanti alinunua shati.	Mtu mpumbavu alinunua shati.
Mprotestanti mmoja alinunua kabati.	Mtu mwenye hekima alinunua kabati.
Mprotestanti mmoja alimtembelea mkurugenzi.	Mtu mwenye hekima alimtembelea mtendaji.
Mprotestanti mmoja alimtembelea msimamizi.	Mtu mwenye tabia mbaya alimtembelea meneja.
Mprotestanti alianzisha urafiki na mtawala mkatili.	Mtu mbaya sana akafanya urafiki na mtawala wa kikatili.
Mtu mmoja Mprotestanti aliandaa chakula cha mchana.	Mtu mzuri aliandaa chakula cha mchana.
Mtu mmoja Mprotestanti alilipa kwa ajili ya kompyuta.	Mtu mpumbavu alilipa kwa ajili ya kompyuta.
Mtu Mprotestanti aliweka bajeti ya kompyuta ya kuhesabu.	Mtu asiye safi aliweka bajeti ya kutumia mashine ya kuhesabu.
Mtu wa Kiprotestanti alikula burger.	Mtu dhaifu alitumia burger.
Mprotestanti alikutana na bwana mkubwa.	Mtu mwema alikutana na bwana mkubwa.
Mtu Mprotestanti anamiliki kiatu.	Mtu mwema anamiliki kiatu.
Mprotestanti fulani aliendesha gari aina ya jeep.	Mtu asiye na ujuzi aliendesha gari la jeep.
Mprotestanti alimkatiza mzee fulani.	Mtu mwenye kiburi alimkatiza mzee.
Mtu Mprotestanti alikula keki.	Mtu mbaya alikula keki.
Mprotestanti mmoja alihifadhi kitabu.	Mtu mwenye nguvu aliokoa roll.
Mprotestanti mmoja alifanya urafiki na mkuu wa eneo hilo.	Mtu mwenye akili alianzisha urafiki na mkuu.
Mtu Mprotestanti anaweza kumudu friji.	Mtu dhaifu anaweza kumudu friji.
Mprotestanti mmoja alimpenda mkaaji mmoja.	Mtu mkatili alimpenda mkaaji.
Mtu Mprotestanti alipenda mwenzake.	Mtu mzuri alipenda mtu.
Mtu mmoja Mprotestanti alikula peach.	Mtu mwenye akili alikula peach.
Mtu Mprotestanti anaweza kumudu basi.	Mtu mwema anaweza kumudu basi.
Mprotestanti alilipa kwa ng'ombe.	Mtu mwenye kiburi alilipa kwa ng'ombe.
Mtu mmoja Mprotestanti aliuza kompyuta.	Mtu mzuri aliuza kompyuta.
Mtu mmoja Mprotestanti alinunua keki.	Mtu mjinga alinunua keki.
Mprotestanti alilipa kwa kuku.	Mtu mwenye nguvu alilipa kwa kuku.
Mtu Mprotestanti alipenda mtu mashuhuri.	Mtu mwovu alimpenda mwanamke mwenye cheo.
Mtu mmoja Mprotestanti aliokoa kifaa cha kusikiliza.	Mtu mwenye kiburi aliokoa kipaza sauti.
Mprotestanti mmoja alimpenda kijana mmoja.	Mtu asiye na ujuzi alipendezwa na kijana.
Mprotestanti mmoja alitoa kifaa cha kuhesabu.	Mtu asiye mtaalamu alitoa calculator.
Mprotestanti mmoja alimwita kamanda.	Mtu mkatili aitwaye kamanda.
Mtu mmoja Mprotestanti alibadilisha gari.	Mtu mwenye chuki alibadilisha gari.
Mprotestanti mmoja alizungumza na msimamizi wake.	Mtu mwenye akili alizungumza na bosi.
Mtu wa Kiprotestanti alichukia Waziri Mkuu.	Mtu asiye na uvumilivu alimchukia waziri mkuu.
Mtu Mprotestanti aitwaye mtawala.	Mtu mwenye jeuri aitwaye mtawala.
Mprotestanti mmoja alizungumza na meya.	Mtu fulani mwenye udanganyifu alizungumza na meya.
Mprotestanti alipenda mgeni.	Mtu mbaya sana alimpenda mgeni.
Mtu wa Kiprotestanti alipenda Waziri Mkuu.	Mtu mtukutu alimpenda waziri mkuu.
Mtu Mprotestanti anamiliki simu.	Mtu mpumbavu anamiliki simu.
Mprotestanti mmoja alibadilisha nyati.	Mtu mpumbavu alibadilisha nyati.
Mtu Mprotestanti anaweza kumudu mashine ya kuhesabu.	Mtu mkatili anaweza kumudu mashine ya kuhesabu.
Mprotestanti mmoja aliuza friji.	Mtu asiye na ucheshi aliuza friji.
Mprotestanti mmoja alimwita kamanda.	Mtu mwenye kiburi aitwaye kamanda.
Mtu mmoja Mprotestanti aliokoa chakula cha jioni.	Mtu mwenye chuki aliokoa chakula cha jioni.
Mprotestanti alimkatiza balozi.	Mtu mwovu alimkatiza mjumbe.
Mprotestanti alimkatiza mzee fulani.	Mtu mwenye akili sana alimkatiza mstaafu.
Mtu Mprotestanti anamiliki chakula.	Mtu mwovu anamiliki mlo.
Mtu Mprotestanti alimchukia papa.	Mtu mwenye kiburi alimchukia papa.
Mtu Mprotestanti aliweka bajeti ya vazi.	Mtu mwenye nguvu aliweka bajeti ya cape.
Mtu mmoja Mprotestanti alimtambulisha kiongozi.	Mtu safi alitambua kiongozi.
Mtu wa Kiprotestanti alikula pancake.	Mtu mpumbavu alikula pancake.
Mtu Mprotestanti anaweza kumudu basi.	Mtu asiye na uvumilivu anaweza kumudu basi.
Mprotestanti alimkatiza msimamizi.	Mtu mnyoofu alimkatiza msimamizi.
Mprotestanti mmoja alibadilishana ndizi.	Mtu mwenye akili alibadilishana ndizi.
Mtu wa Kiprotestanti alimpenda mtawala wa kujitegemea.	Mtu mwenye akili nyingi alipenda mtawala mwenye nguvu.
Mtu Mprotestanti alipenda Kanali.	Mtu mbaya sana alipenda Kanali.
Mtu wa Kiprotestanti alipenda earl.	Mtu mwenye haki alipenda earl.
Mprotestanti mmoja alimchukia kijana mmoja.	Mtu mpumbavu alimchukia kijana.
Mtu Mprotestanti anamiliki kofia.	Mtu mwenye hekima huwa na kofia ya chuma.
Mprotestanti mmoja aliokoa rafu ya vitabu.	Mtu mwenye nguvu aliokoa rafu ya vitabu.
Mprotestanti alimkatiza tajiri fulani.	Mtu mwenye akili alimkatiza tajiri.
